Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Kosovo,XKX,1788196,-1.364932338,NA,17.6,7029467299,3930,15839094175,8860,9.5,78.922,1.751,10.122,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6295848423,5.916231283,0.607840659,7.677168234,26.94323282,22.45139286,51.5690494,30.43246864,NA,4,NA,0.794280304,NA,NA,NA,NA,2158469237,2.511291953,-14819,68395898.17,343350610.6,244.8333391,3520.782075,-302274786,-0.536929393
Kuwait,KWT,3908743,3.837569365,17820,NA,1.60419E+11,41040,1.9281E+11,49330,NA,79.562,2.16,7.146,NA,99.9,9.1,3.2,93,NA,95.25441742,1.048840046,0.1,62.5,168.5577461,NA,22.77502,NA,1.14586E+11,0.592771759,-25.95833147,0.537729006,55.93584566,53.766258,44.9333335,25.42808961,NA,12,83.87923705,5.007469397,196.0922731,0.127428394,74.25455973,100,NA,NA,259114,15202536401,284647623.8,NA,29315.1931,5154974475,3.271701661
Kyrgyz Republic,KGZ,5956900,2.059025966,199949,32.1,7025885605,1180,24107226487,4050,9.5,70.65121951,3.2,44.121,NA,NA,22.2,NA,99,103.9720001,90.06700134,1.004979968,0.2,12518.1,0.866508046,NA,1.723480334,NA,6678177512,3.875825445,3.427287503,14.06076433,25.07806232,35.18960049,75.77197023,34.67146926,30.06601324,4,NA,1.752024087,128.1397232,12.24602062,82.52251442,100,7720114041,6.880291658,-29468,362554963,1144054000,130.0525478,1121.082696,-1009094000,6.50331839
Lao PDR,LAO,6787419,1.423956165,236800,NA,13339842543,1970,39554381324,5830,NA,66.67,2.766,80.232,NA,NA,53.1,25.5,81,101.072998,62.41899872,0.937261164,0.3,167680,1.83775543,NA,1.307698847,NA,14426380126,7.270065844,2.348496007,17.5877597,27.69334425,33.95225731,51.8460644,31.5566516,15.8072954,10,NA,NA,54.91280264,35.18016555,64.65932492,100,11641678830,3.050874696,-12995,43338071.87,1077759915,69.4063526,2125.458901,-1038062947,1.277354271
Latvia,LVA,1977527,-0.818626341,64594,21.8,29871535987,15110,49153743810,24860,7.1,74.4804878,1.7,17.328,NA,99.9,5.1,NA,96,100.0109482,112.3566513,0.990239978,0.5,33914.4,154.2902691,NA,3.699519653,NA,27263090547,3.885260054,0.115712474,3.494675227,19.10356882,60.27538277,62.02398197,23.80509525,39.69672709,4,NA,1.037354277,130.0230176,18.92450347,99.05333349,100,NA,NA,-11163,273065661.1,812843819.5,NA,13786.4568,-669889911,0.174242244
Lebanon,LBN,6398940,1.966373269,10450,NA,47635097530,7440,1.09205E+11,17070,NA,79.229,2.178,21.994,NA,NA,12.7,NA,82,NA,NA,NA,0.1,1403.3,27.55482221,NA,4.222074281,NA,49929337837,0.462320793,3.335784449,3.284663267,15.70518464,23.13966773,48.69937491,22.22277926,17.12476796,8,22.79411363,4.486884345,72.78785236,2.18800841,45.95895118,100,68219052512,28.44019488,-223722,3674947485,2159289952,150.9015533,7802.751368,-1499077656,-3.749145248
Lesotho,LSO,2118521,1.104914388,30360,NA,2703479429,1280,7143024232,3370,NA,51.101,3.264,90.797,NA,NA,82.1,NA,93,79.34462738,58.58946991,1.045600057,24.1,345.2,53.87412613,NA,1.012121192,NA,2359686725,3.12406678,10.20303919,3.781903447,33.7385657,42.89180371,86.83096937,30.43663474,39.17851624,7,NA,1.865757963,101.020571,0.144664193,123.999511,100,952588686.1,2.013606278,-4129,0,113220010.4,40.82565047,1113.836835,-113220010.4,3.218445137
Liberia,LBR,4612329,2.035413638,111370,NA,2896065017,630,5703744575,1240,NA,59.148,4.523,140.428,NA,NA,88.1,NA,64,NA,36.62308121,0.863579988,1.3,77687.4,22.11840781,NA,0.270535775,NA,3227075700,-0.01856497,0.062713426,34.40375446,16.82484548,NA,NA,NA,NA,5,NA,1.051498096,79.17908718,NA,61.04598042,100,837435458.6,1.544402371,-15195,339788070.6,232679832.5,237.2900894,699.6629469,-232679832.5,7.748696876
Libya,LBY,6192235,1.537394116,1759540,NA,54685569670,8830,1.19908E+11,19360,NA,71.698,2.711,7.616,NA,NA,13.3,NA,98,NA,NA,NA,0.1,2170,8.517045686,NA,8.289607872,NA,48717501321,-0.842656252,-7.040707272,4.386297335,34.82896933,22.22737412,34.67753321,17.38201284,NA,10,NA,NA,157.4081087,NA,57.10678759,100,NA,NA,-7660,839800000,NA,25.41408637,7867.514931,394900000,10.40229336
Liechtenstein,LIE,37355,0.695762434,160,NA,NA,NA,NA,NA,NA,82.65609756,1.4,3.089,NA,NA,NA,NA,NA,105.7471313,116.1234436,0.850310028,NA,67,NA,NA,4.277172909,NA,6268515276,NA,NA,NA,37.26026489,NA,NA,NA,NA,NA,NA,NA,109.623879,NA,NA,NA,NA,NA,141,NA,80400430108,NA,167809.2699,NA,NA
Lithuania,LTU,2904910,-0.940753797,65286,21.9,44113300214,15190,80739969856,27790,6.1,74.32195122,1.7,14.238,NA,100,4.9,NA,94,100.7350235,107.6729279,0.970130026,0.2,21870,108.5268029,NA,3.809894282,NA,41435533340,2.024583955,0.063682791,3.42067512,26.71806,68.77764073,69.77467659,21.26976178,31.37607978,4,NA,1.137748174,141.1735748,12.78020722,129.2272494,100,NA,NA,-18912,589066458.3,1036954106,NA,14263.96458,-680317054.7,-0.884097406
Luxembourg,LUX,569604,2.359951181,2590,NA,41884059862,73530,39536868192,69410,7.4,82.29268293,1.47,5.393,NA,NA,2.7,NA,99,80.56880188,104.3791885,1.020449996,0.2,887,1340.883576,6548.405559,16.03464863,NA,60071584216,2.269784484,2.219180657,0.223732629,11.53962343,191.835449,159.2965253,18.95848577,39.4391768,5,78.45869327,0.415571528,141.6910194,7.106325905,67.29970672,100,NA,NA,11373,11232764646,45432153556,NA,105462.0126,78413284267,0.474743161
"Macao SAR, China",MAC,615239,1.816016042,30.4,NA,37383948928,60760,62556810027,101680,NA,83.984,1.196,3.253,NA,NA,NA,NA,NA,91.78946686,100.9664383,0.984610021,NA,NA,NA,NA,NA,NA,45048190598,-21.51440219,4.514051189,NA,7.695964505,78.50673324,39.9916043,25.33693996,31.75302151,NA,NA,NA,308.1886876,0,26.50938882,100,NA,NA,6465,1949440187,486517486.3,NA,73220.63556,-658054977.7,4.56056338
North Macedonia,MKD,1912430,-0.267729528,25710,21.9,10616363345,5550,27844023687,14560,5.6,75.40243902,1.49,17.278,NA,99.9,11.2,NA,89,94.25715637,76.69754791,0.990620017,0.1,9944,11.6922893,NA,3.734568063,NA,10064519963,3.85586514,2.003420846,9.726918494,23.92218322,48.73799991,64.96044397,30.40357525,26.95717503,6,NA,0.993427692,98.8434801,3.36912572,108.9272021,100,6766734551,10.68178626,-1378,19890647,296604200.4,112.0668507,5262.686719,-230313801.4,-0.299920476
Madagascar,MDG,24850912,2.588187143,587295,NA,11802421961,470,36614683088,1470,NA,64.339,4.183,130.238,NA,NA,65.8,NA,60,67.60498047,37.90689087,0.993740022,0.2,124958.9,0.841391098,NA,0.132173016,NA,11323020701,3.132298075,6.503716692,25.74335433,18.95088473,28.39064613,32.82973271,15.99188793,9.789758105,10,NA,0.520469241,43.03168029,0.256953836,42.77127215,100,3007857305,1.290732085,485,57976274.83,328059305.6,27.26298374,455.6380346,-246135354.5,7.404191742
Malawi,MWI,16938942,2.759113701,118480,NA,8650763174,510,23401060115,1380,NA,61.378,4.452,131.928,NA,NA,56.4,11.8,87,NA,40.23437119,0.996720016,9.6,24517,6.795013546,NA,0.064320428,NA,9219474379,2.800000001,19.81466926,22.99483637,17.55617213,NA,NA,NA,11.51057151,8,NA,0.450825678,38.76692535,1.286288318,36.24935503,100,1721202631,0.782595878,-6449,20001245.99,287746689.2,61.97553831,544.2768727,-292852668.8,21.86734755
Malaysia,MYS,31068833,1.499409724,330345,7.6,3.23145E+11,10400,7.45127E+11,23980,5.8,75.094,2.039,12.274,NA,99.4,8.1,12.5,93,99.48899841,84.55256653,1.044669986,0.4,194642.2,48.40270912,NA,7.603420444,NA,3.01355E+11,5.091532422,1.218055734,8.287499926,38.44966979,69.4486909,61.92138155,25.42426328,18.61511879,6,127.0847707,1.503898427,141.9557664,48.47078281,124.744128,100,NA,NA,80603,10482814889,9857162112,-0.019311959,9699.600463,684808753.5,2.104389802
Maldives,MDV,435582,4.422534092,300,NA,3516054033,8070,7037133807,16160,NA,79.695,1.99,12.304,NA,NA,9.8,NA,99,94.82499695,NA,NA,0.1,8.2,878.618153,NA,3.074736789,NA,4129505319,3.971715703,7.323449109,5.533603618,10.7232266,NA,NA,NA,26.16032233,6,NA,NA,169.8394332,NA,51.72532386,100,1004002006,3.641410453,12526,348365189.2,297975993.4,55.07573722,9480.431513,-297975993.4,0.953206659
Mali,MLI,18112907,3.146747167,1240190,47.2,13887598307,770,35613129170,1970,NA,58.363,6.385,163.29,15.6,43.7,115.3,25,66,48.50984955,40.11573029,0.864260018,1.1,132960,2.526950324,NA,0.184608688,NA,13104764378,6.171800024,2.883509375,37.72325687,17.59796791,24.04370851,39.59593117,20.76089776,14.86356696,5,NA,2.360174452,125.3190059,NA,49.73000515,100,3747044963,0.887158109,-48947,132910580.5,275525536,66.34164326,723.5042049,-193153992.7,1.450690576
Malta,MLT,445053,2.386395363,320,16.5,11228865394,25230,15747076847,35380,8.5,81.89756098,1.37,12.385,NA,99.8,6.6,NA,89,98.23544312,95.15711975,1.040079951,0.2,3.5,265.346499,NA,3.723376766,NA,11091483660,9.608132348,4.220118217,0.922881726,12.29359528,154.6181556,144.8520026,24.14010234,37.1172121,10,39.71804075,0.467203717,114.8018196,30.79472035,77.92465161,100,NA,NA,9443,403791052.2,3640705147,NA,24921.71418,-10232703292,1.100548264
Marshall Islands,MHL,49410,-2.021525531,180,NA,242817330.7,4910,265488668.9,5370,NA,63.827,3.063,66.08,NA,NA,35.5,NA,75,NA,88.45281219,1.015650034,NA,94,NA,NA,2.960939081,NA,183222930.9,2.100519333,-3.231618438,12.45653439,11.32875819,44.35735726,94.49376558,17.21231767,27.30516685,5,NA,NA,31.37016798,NA,87.32531414,100,NA,NA,-1901,18452182.37,-5393638.499,1154.826986,3708.215562,5393638.499,NA
Mauritania,MRT,3946220,2.645957102,1030700,NA,6650080316,1690,15313401563,3880,NA,64.485,4.813,83.095,17.8,69.3,49,24.9,70,66.717659,31.06388092,1.020720005,0.4,3400.4,4.574146192,NA,0.751732037,NA,6166863897,5.376339237,-4.793908578,20.62954561,22.7465106,30.19514476,47.15164174,38.46147699,NA,7,NA,2.155572404,92.35377146,NA,89.75388614,100,4993494071,4.047710774,-3018,171581503,501726765.7,83.48748713,1562.726836,-501726765.7,3.254726881
Mauritius,MUS,1262879,0.13240433,2007,NA,13149418994,10410,26123342651,20690,NA,74.35317073,1.36,24.49,NA,99.8,14.6,NA,99,97.83262634,94.61740875,1.032019973,NA,383,19.61975661,NA,3.136404992,NA,12007291046,3.690556904,1.399530743,3.071963434,19.19317901,51.49785241,55.64812703,17.49244541,11.16097697,5,60.28462184,0.142301918,136.2793111,0.114086339,62.06229175,100,10302274190,34.67294484,-2747,599739064.4,216455188,62.09620888,9507.871337,-4506901282,1.286549708
Mexico,MEX,120149897,1.16700885,1964375,NA,1.28051E+12,10660,2.2513E+12,18740,NA,74.682,2.137,67.585,66.9,97.7,16.2,3.9,97,105.9928436,100.9822693,1.029829979,0.4,663309.1,14.1640727,1559.118998,3.925368326,NA,1.21329E+12,2.702323426,3.225428927,3.085186344,30.84025359,34.16277269,36.25020199,23.73612974,18.36819687,7,33.15380484,0.466676122,89.62827659,19.5702756,64.7684483,100,5.30515E+11,4.427261092,-82173,632146573,36249939587,2.672245381,10098.17318,-25271560037,2.72064065
"Micronesia, Fed. Sts.",FSM,109462,0.400941559,700,NA,380262431,3470,432097217.1,3950,NA,71.408,2.971,37.951,NA,NA,30.3,NA,74,90.9240036,NA,NA,NA,642.7,NA,NA,1.323747054,NA,316489900,4.621884004,-5.250358783,26.20168922,6.113275653,27.06500271,78.23146963,NA,28.37381793,7,NA,NA,20.55964627,NA,63.19316983,100,NA,NA,-1415,NA,NA,743.5456998,2891.322103,NA,-0.298115837
Moldova,MDA,2835978,-0.76704956,33850,NA,9330369343,3290,27587814325,9730,9.7,69.24,1.868,36.004,NA,99.7,15.6,NA,89,107.1163406,105.0697098,1.004780054,0.7,3864,9.282937139,NA,2.828160162,NA,7797667197,-0.338235622,11.57431496,12.82125575,21.10766573,31.80692179,57.15949367,24.06209079,26.19323037,5,NA,0.297625495,113.2956183,4.607808404,76.35616973,100,6094646558,5.063837193,-59404,154110000,225870000,110.2194681,2749.551371,-218560000,9.676240331
Monaco,MCO,36760,1.78404622,74.92,NA,NA,NA,NA,NA,NA,NA,NA,7.575,NA,NA,3.5,NA,89,NA,NA,NA,NA,0,1252.329978,NA,NA,NA,6261649891,4.863473211,1.137972438,NA,17.60046779,NA,NA,NA,NA,NA,NA,NA,92.54624592,NA,NA,NA,NA,NA,1019,NA,NA,NA,170338.6804,NA,NA
Mongolia,MNG,2964749,2.110866279,1564120,NA,11403259106,3850,29020289246,9790,NA,69.498,3.01,31.313,NA,NA,19.5,NA,98,99.20600128,NA,NA,0.1,141783.3,27.04816711,NA,5.835434973,NA,11619892591,2.379835807,0.609769218,14.07920318,31.51587758,44.18405023,45.46961324,24.51384852,22.81501596,8,NA,0.875507833,103.4878838,4.164654396,72.86642225,100,21953024494,17.15611776,3932,227551598.3,94319767.47,79.71669654,3919.351213,-82911241.94,5.735682819
Montenegro,MNE,622159,0.056110724,13810,24,4514370082,7260,10383441063,16690,5.2,76.44878049,1.74,11.293,NA,NA,4.1,NA,64,97.74595642,91.18640137,1.011270046,0.1,8270,25.20031123,NA,3.791795988,NA,4054730078,3.390381397,2.219572933,8.061185734,14.35346224,42.11807213,60.57090523,20.09515908,NA,8,NA,1.403717598,158.981712,12.76544051,58.99282947,NA,6674238727,31.06251788,-1943,53639764.55,699855695.3,160.6663234,6517.192675,-687462796,1.548691582
Morocco,MAR,34680458,1.253058273,446550,NA,1.15777E+11,3290,2.69459E+11,7660,NA,72.92,2.531,29.145,NA,NA,23.5,NA,99,95.71690369,NA,NA,0.1,56846.9,10.44299857,NA,1.74053353,NA,1.10414E+11,4.344582976,3.17293531,11.79619318,25.62268173,29.99585389,37.29282204,30.17718823,23.69111211,5,41.59616831,3.230153348,124.279337,3.703852801,54.73408845,100,44387881948,3.286960237,-81202,78799239.1,3252913902,43.77912279,3139.228271,-2596320890,1.557907113
Mozambique,MOZ,26843246,3.043019717,799380,NA,17741679180,660,34338892390,1280,NA,58.151,5.062,174.077,27.1,73,82.8,15.6,87,51.83055115,34.76219177,0.906029999,12.4,379400,11.00406366,NA,0.204084856,NA,16208985770,7.393093699,7.059950335,23.56631649,18.6152107,32.57229353,66.18891012,42.2457875,24.05476747,10,NA,0.840285274,75.00930402,11.66938672,72.47214704,100,38032451512,6.418427325,30414,190566935.1,3868353885,67.76825705,603.8385138,-3866831987,3.550759674
Myanmar,MMR,51483949,0.802515043,676590,32.1,62920798231,1220,2.19736E+11,4270,7.3,65.561,2.248,34.081,NA,NA,51.3,NA,84,NA,NA,NA,0.9,299924.4,1.793725449,NA,0.36970746,NA,59607290408,6.99284029,4.136696739,26.77177865,34.46882126,NA,NA,NA,18.50639742,14,NA,4.301360264,79.62426697,0.469787769,47.50090099,100,10219854991,0.872294204,-94128,382264665.7,4083839112,22.69639417,1157.783961,-4083839112,9.454171895
Namibia,NAM,2282704,1.754600381,824290,17.4,12290654230,5380,24809465414,10870,2.8,60.7,3.604,70.805,NA,NA,46,NA,85,NA,NA,NA,12.9,69939.5,40.2098655,NA,1.812455754,NA,11335161084,4.264174538,3.864574351,6.650426796,27.56365362,35.37084841,61.86818338,30.5564401,35.65520125,10,NA,4.528000168,111.7016048,0.43923199,103.7832627,100,NA,NA,-8596,71439738.98,838879062.7,62.3733979,4965.672765,-734559243.8,3.394015384
Nauru,NRU,11185,2.214779795,20,NA,133868576.9,11970,149784405.5,13390,NA,62.269,3.827,79.647,NA,NA,33.1,NA,98,NA,NA,NA,NA,0,NA,NA,4.872597228,NA,84863440.58,3.418803419,-8.67768595,NA,NA,71.56862745,128.4313725,NA,86.10963924,NA,NA,NA,84.04112651,NA,120.1931,100,NA,NA,-31,18192164.78,NA,2793.920429,7587.25441,4437826.974,NA
Nepal,NPL,27610325,0.53827062,147180,NA,24128375452,870,83445512809,3020,NA,67.456,2.25,77.024,NA,NA,38,NA,85,110.8179932,68.92825317,1.054630041,0.2,59620.3,2.565077896,NA,0.260272199,NA,24360801287,3.976053272,4.409045433,26.51850843,13.16165463,10.21458859,36.4511418,31.27743482,16.99260634,7,NA,1.368131024,99.65856976,0.635275667,30.26583532,100,4142916401,0.916147884,-221059,9494425.813,51895699.93,44.34717597,882.3076616,-51895699.93,7.868908956
Netherlands,NLD,16939923,0.443220089,41540,12.7,8.35162E+11,49300,8.43206E+11,49780,8.9,81.5097561,1.66,3.139,NA,NA,4.1,NA,95,NA,114.1379166,1.008260012,0.2,3648.3,91.02042214,4233.043857,9.290242937,NA,7.65573E+11,1.959169721,0.772727977,1.724327834,18.18602103,82.65889671,75.15767933,22.47495681,38.12318118,4,95.1556283,1.132711505,122.1109286,24.04630709,141.4035401,100,NA,NA,57677,10222554138,3.32926E+11,NA,45193.40322,60422293503,0.600248147
New Caledonia,NCL,269460,0.524642605,18580,NA,NA,NA,NA,NA,NA,77.2804878,2.08,20.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,8385.2,NA,NA,NA,NA,8738203074,NA,NA,1.913341037,22.10003596,18.06916629,41.97762981,34.72253256,NA,NA,NA,NA,91.96027304,5.2672959,44.7231538,100,NA,NA,-2230,28730855.74,1203895440,NA,32428.57223,-1145991625,0.570508141
New Zealand,NZL,4609400,2.036033909,267710,NA,1.87395E+11,40650,1.67067E+11,36240,NA,81.61243902,1.99,18.869,NA,96.3,5.5,NA,93,NA,114.8899918,1.035899997,0.1,98466.1,18.03587046,4431.514731,7.003340999,NA,1.78104E+11,3.734035773,1.4440385,4.470295266,21.15608249,27.95256013,26.93571185,23.14475111,32.73457793,1,41.74550141,0.988586445,121.9886768,10.11212416,39.81320582,100,NA,NA,47165,728535221.1,-73372796.42,NA,38639.35019,57648272.76,0.292704628
Nicaragua,NIC,6298598,1.437940024,130370,NA,11767962615,1870,32223045254,5120,NA,72.983,2.48,93.552,NA,94,19.3,NA,99,NA,NA,NA,0.3,39075.3,9.210110661,NA,0.839345518,NA,12756706583,4.792702232,7.58799163,16.1101157,25.73488598,40.08346107,58.11013296,33.4767491,16.72806415,7,NA,0.775537372,115.3296496,0.583114234,93.27642619,100,11513227717,12.80712366,-24359,1600000,967000000,72.70189547,2025.324776,-922000000,3.997379967
Niger,NER,20128124,3.828859384,1267000,NA,11120160858,550,24526792102,1220,NA,61.083,7.211,177.002,14.7,39.7,126.5,35.8,85,67.11799622,20.8979702,0.824790001,0.3,11418,5.62525003,NA,0.104907442,NA,9683867926,4.392648832,2.249426436,32.41699527,22.53832868,14.26836996,30.45906041,32.35682287,NA,7,NA,NA,44.50986093,15.86162384,36.9377198,100,2228591635,0.865275525,17051,101269765.5,529476871.1,43.19925789,481.1113011,-495338338.2,-0.57609037
Nigeria,NGA,183995785,2.541187462,923770,NA,5.25528E+11,2860,9.63979E+11,5240,7,51.841,5.616,114.982,NA,NA,126.2,19.5,42,NA,45.60858154,NA,NA,224434.5,39.53068335,NA,0.585591675,NA,4.93027E+11,2.652693295,2.863665123,20.63189348,20.1607829,NA,NA,NA,NA,8,10.13614105,0.417636538,81.97475275,11.90587563,19.25169637,100,41541257872,0.369162377,-145917,1035451150,3064168904,13.21519425,2679.554223,-1628965268,9.00943498
Northern Mariana Islands,MNP,51514,-0.661703101,460,NA,NA,NA,NA,NA,NA,NA,NA,40.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.9,NA,NA,NA,NA,910000000,3.383458647,5.795454545,NA,NA,52.96703297,69.78021978,NA,NA,NA,NA,NA,NA,NA,52.08791209,100,NA,NA,-866,NA,NA,NA,17665.10075,NA,NA
Norway,NOR,5188607,0.995084737,625184.78,12.2,4.84805E+11,93440,3.28162E+11,63250,9,82.30487805,1.72,4.519,NA,99.1,2.7,NA,95,99.55300903,115.2020416,0.985490024,NA,121410,143.0475446,5817.636603,7.764858661,NA,3.8816E+11,1.857339726,-2.804468122,1.481830296,31.59863177,38.57518873,31.85666781,26.91884149,45.38865619,4,49.95259523,1.498123273,110.1059349,22.26262901,46.46002334,100,NA,NA,30329,4578256593,7274086872,NA,74809.9658,14147392954,2.171136654
Oman,OMN,4191776,4.451607888,309500,NA,86008933958,20520,1.46562E+11,34960,NA,77.687,2.959,17.365,NA,98.7,11.2,NA,99,99.00985718,102.1727295,1.016450047,0.1,30,48.1706201,NA,16.73078428,NA,78710793238,5.017057997,-19.14647252,1.729760807,53.09853524,49.65123925,46.7243584,36.3715665,NA,7,52.24590975,9.571167303,155.7561043,3.243235658,77.41505008,100,NA,NA,134260,10990897269,-2172431730,NA,18777.43306,2507412224,0.065290133
Pakistan,PAK,210969298,1.296551724,796100,24.3,2.79058E+11,1320,9.58594E+11,4540,9.3,65.697,3.904,47.579,NA,59,76.1,NA,75,NA,35.17425156,0.832499981,0.1,39326,1.523431135,NA,0.778086203,NA,2.99964E+11,4.217942096,4.441980334,23.26284078,19.60261467,9.974571017,16.71361359,15.81092811,NA,13,NA,2.985381321,59.67675827,1.60383334,22.08834742,100,68749830505,1.400149749,-2172159,30000000,1673000000,17.84155351,1421.835278,-1648000000,2.529328173
Palau,PLW,17794,-0.011239112,460,NA,255328837.7,14350,305695887.1,17180,NA,NA,2.21,36.109,NA,100,21.2,NA,95,NA,NA,NA,NA,409.9,NA,NA,11.29032258,NA,287215972.9,9.748413434,6.500098009,2.991101284,7.929317952,51.58831867,75.80890726,28.79735148,24.78019322,8,NA,NA,133.4326177,41.21994309,54.31452799,100,NA,NA,8,16785283.38,34583158.15,782.8481682,16141.16966,-34583158.15,0.949040644
Panama,PAN,3957099,1.741235434,75320,23,48416679422,12240,1.01785E+11,25720,3.4,77.468,2.564,86.428,50.8,96.3,17.2,NA,93,NA,77.00920105,1.008329988,0.9,42709.1,43.22848238,NA,2.681231882,NA,54091800000,5.733054309,2.478768905,2.786004533,27.55908252,47.68486166,52.25154275,42.75564873,13.21126674,5,24.35546608,NA,145.1045438,4.67E-04,62.58249864,100,88501170629,5.58731612,8648,828900000,5119300000,2.590281416,13669.55944,-3972100000,0.137492058
Papua New Guinea,PNG,8682174,2.543200663,462840,NA,22041491260,2540,29946982773,3450,NA,64.701,3.558,61.956,NA,NA,51.5,NA,57,NA,NA,NA,0.8,360244.209,55.40279778,NA,0.733652654,NA,21723437010,6.578356323,-1.231118417,17.45693017,34.80493013,NA,NA,NA,16.93324069,6,7.912467991,0.459900166,41.0035551,NA,50.6549677,100,20386681360,5.415634846,30581,280651307.6,30027878.63,68.11542992,2502.073445,-38653555.8,5.995957781
Paraguay,PRY,6177950,1.422003571,406752,26.6,37596664788,6090,75028450947,12140,4.3,73.191,2.645,76.163,NA,96.3,22.1,NA,78,95.65599823,NA,NA,0.4,174989.4,15.00681634,NA,1.030681699,NA,36211447840,2.957151735,1.60388801,9.440420725,34.58225375,34.7346587,32.18040683,21.87868241,17.35848366,7,NA,1.067449349,119.974846,6.038421024,51.49752665,100,17297632892,5.832947425,-16833,115062511.1,642600084.4,9.741095397,5861.401895,-382595424.2,3.129002745
Peru,PER,30711863,1.172230664,1285220,21.8,1.93151E+11,6290,3.41222E+11,11110,4.7,75.621,2.338,61.571,74.6,91.6,17,3.4,92,101.715332,99.5942688,0.998700023,0.3,731945.3,6.283923498,NA,1.776300578,NA,1.89803E+11,3.252244772,2.690520901,7.04564406,30.33787987,21.28732529,23.8754434,24.30511436,19.67956581,8,29.79705646,1.745080549,111.4742209,5.305279597,37.65430943,100,67186181292,3.01857707,2462,0,7336859045,10.90230139,6180.119268,-7999614643,3.398091947
Philippines,PHL,103031365,1.669830021,300000,23.5,3.45551E+11,3350,8.0903E+11,7850,5.6,71.268,2.951,52.717,NA,NA,27.9,21.4,80,NA,86.64099884,1.007279992,0.1,70141.5,3.546827214,NA,1.077253514,NA,3.06446E+11,6.348309715,-0.719682789,10.99649915,30.48195098,27.20805724,31.93353487,21.34094787,14.67705028,17,77.9321774,1.08846304,114.3710694,NA,43.58910089,100,76266262181,3.097629772,6954,153322154.9,5639155962,4.99799272,2974.296917,-99650560.95,0.674192537
Poland,POL,37986412,-0.066641101,312680,17.3,5.03183E+11,13250,9.80763E+11,25820,7.4,77.45121951,1.32,12.792,NA,99.9,4.9,NA,96,99.46398926,109.4147873,NA,0.1,94200,45.66532236,2490.206419,7.610021183,NA,4.77111E+11,4.383298635,1.317042937,2.503070664,31.11515282,47.4503064,45.36848245,20.98354658,32.67062966,5,28.87577458,2.14054583,141.4598694,10.77441706,82.9150368,100,NA,NA,-25426,2574000000,15598000000,NA,12560.05142,-10578000000,-0.874125874
Portugal,PRT,10358076,-0.414141102,92225.6,19,2.11897E+11,20460,2.98989E+11,28870,6.7,81.12439024,1.31,8.239,NA,99.9,3.6,NA,98,NA,116.8717422,0.966910005,0.6,33120,23.15221361,2131.681888,4.812853275,NA,1.99394E+11,1.792046046,2.019964428,2.099443926,19.46438213,40.61511545,39.87577894,15.85532198,37.7497571,6,30.00951384,1.326558396,113.0168861,5.079882798,61.16581207,100,NA,NA,-10124,343838968.9,1270014233,NA,19250.10654,-2385447345,0.487938624
Puerto Rico,PRI,3473232,-1.759208258,8870,NA,67441325341,19420,76936606042,22150,NA,79.695,1.3365,34.471,NA,NA,NA,NA,NA,90.60420227,99.72260284,NA,NA,4938.8,118.1434286,NA,NA,NA,1.03376E+11,-1.049290032,1.97754447,0.826985117,50.93827841,67.19493497,41.68569922,8.598555751,NA,6,NA,NA,91.64100665,NA,NA,NA,NA,NA,-64764,NA,NA,NA,29763.4883,NA,NA
